Label	Type	Identifier	Database	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
TGFBR3	GeneProduct	ncbigene:7049	L:7049:T								
ZFHX1B	GeneProduct	ncbigene:9839	L:9839:T								
TGFB1	GeneProduct	ncbigene:7040	L:7040:T								
SMAD9	GeneProduct	ncbigene:4093	L:4093:T								
JAK1	GeneProduct	ncbigene:3716	L:3716:T								
MAPK9	GeneProduct	ncbigene:5601	L:5601:T								
SMAD1	GeneProduct	ncbigene:4086	L:4086:T								
RUNX2	GeneProduct	ncbigene:860	L:860:T								
TGIF	GeneProduct	ncbigene:7050	L:7050:T								
SKI	GeneProduct	ncbigene:6497	L:6497:T								
SMAD4	GeneProduct	ncbigene:4089	L:4089:T								
BMP4	GeneProduct	ncbigene:652	L:652:T								
TNF	GeneProduct	ncbigene:7124	L:7124:T								
FST	GeneProduct	ncbigene:10468	L:10468:T								
FKBP1A	GeneProduct	ncbigene:2280	L:2280:T								
SPP1	GeneProduct	ncbigene:6696	L:6696:T								
WNT1	GeneProduct	ncbigene:7471	L:7471:T								
TGFBR2	GeneProduct	ncbigene:7048	L:7048:T								
THBS1	GeneProduct	ncbigene:7057	L:7057:T	there are 5 types of tsp							
LIF	GeneProduct	ncbigene:3976	L:3976:T								
NOG	GeneProduct	ncbigene:9241	L:9241:T								
LEF1	GeneProduct	ncbigene:51176	L:51176:T								
ENG	GeneProduct	ncbigene:2022	L:2022:T								
SMAD6	GeneProduct	ncbigene:4091	L:4091:T								
BMP4	GeneProduct	ncbigene:652	L:652:T								
SKIL	GeneProduct	ncbigene:6498	L:6498:T								
ZNF423	GeneProduct	ncbigene:23090	L:23090:T								
MAPK3	GeneProduct	ncbigene:5595	L:5595:T								
RUNX3	GeneProduct	ncbigene:864	L:864:T								
TGFBR1	GeneProduct	ncbigene:7046	L:7046:T								
NFKB1	GeneProduct	ncbigene:4790	L:4790:T								
SMAD3	GeneProduct	ncbigene:4088	L:4088:T								
BAMBI	GeneProduct	ncbigene:25805	L:25805:T								
EP300	GeneProduct	ncbigene:2033	L:2033:T								
SERPINE1	GeneProduct	ncbigene:5054	L:5054:T								
SMAD1	GeneProduct	ncbigene:4086	L:4086:T								
INHBA	GeneProduct	ncbigene:3624	L:3624:T								
LTBP1	GeneProduct	ncbigene:4052	L:4052:T								
SMAD2	GeneProduct	ncbigene:4087	L:4087:T								
STAT3	GeneProduct	ncbigene:6774	L:6774:T								
TGFBR2	GeneProduct	ncbigene:7048	L:7048:T								
MIR302A	GeneProduct	ensembl:ENSG00000207927	En:ENSG00000207927:T								
ZFYVE9	GeneProduct	ncbigene:9372	L:9372:T								
IFNG	GeneProduct	ncbigene:3458	L:3458:T								
TGFB1	GeneProduct	ncbigene:7040	L:7040:T								
JUN	GeneProduct	ncbigene:3725	L:3725:T								
SMAD2	GeneProduct	ncbigene:4087	L:4087:T								
SMAD7	GeneProduct	ncbigene:4092	L:4092:T								
FOXH1	GeneProduct	ncbigene:8928	L:8928:T								
HRAS	GeneProduct	ncbigene:3265	L:3265:T								
CTNNB1	GeneProduct	ncbigene:1499	L:1499:T								
TNF	GeneProduct	ncbigene:7124	L:7124:T								
FOS	GeneProduct	ncbigene:2353	L:2353:T								
TFE3	GeneProduct	ncbigene:7030	L:7030:T								
EGF	GeneProduct	ncbigene:1950	L:1950:T								
STAT1	GeneProduct	ncbigene:6772	L:6772:T								
CREBBP	GeneProduct	ncbigene:1387	L:1387:T								
TGFBR1	GeneProduct	ncbigene:7046	L:7046:T								
SMAD5	GeneProduct	ncbigene:4090	L:4090:T								
ITGB6	GeneProduct	ncbigene:3694	L:3694:T								
LEFTY1	GeneProduct	ncbigene:10637	L:10637:T								
LEFTY2	GeneProduct	ncbigene:7044	L:7044:T								
