Label	Type	ID	Database	
Manamycin	Metabolite		
RAB27A	GeneProduct	ENSG00000069974	Ensembl
ARAF	GeneProduct	ENSG00000078061	Ensembl
MAPK1	GeneProduct	ENSG00000100030	Ensembl
ALIX	GeneProduct	ENSG00000170248	Ensembl
HNRNPH1	GeneProduct	ENSG00000169045	Ensembl
BRAF	GeneProduct	ENSG00000157764	Ensembl
RAF1	GeneProduct	ENSG00000132155	Ensembl
RRAS	GeneProduct	ENSG00000126458	Ensembl
RRAS2	GeneProduct	ENSG00000133818	Ensembl
MRAS	GeneProduct	ENSG00000158186	Ensembl
HRAS	GeneProduct	ENSG00000174775	Ensembl
KRAS	GeneProduct	ENSG00000133703	Ensembl
NRAS	GeneProduct	ENSG00000213281	Ensembl
MAPK3	GeneProduct	ENSG00000102882	Ensembl
RAB5A	GeneProduct	ENSG00000144566	Ensembl
RAB5B	GeneProduct	ENSG00000111540	Ensembl
RAB5C	GeneProduct	ENSG00000108774	Ensembl
HGS	GeneProduct	ENSG00000185359	Ensembl
RRAS	GeneProduct	ENSG00000126458	Ensembl
RRAS2	GeneProduct	ENSG00000133818	Ensembl
MRAS	GeneProduct	ENSG00000158186	Ensembl
HRAS	GeneProduct	ENSG00000174775	Ensembl
KRAS	GeneProduct	ENSG00000133703	Ensembl
NRAS	GeneProduct	ENSG00000213281	Ensembl
ALIX	GeneProduct	ENSG00000170248	Ensembl
RAB27A	GeneProduct	ENSG00000069974	Ensembl
