Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Lactate	Metabolite	chebi:24996						wikidata:Q27895931	chebi:24996;chebi:24996	inchikey:JVTAAEKCZFNVCJ-UHFFFAOYSA-M
[Ca2+]mito	Metabolite	hmdb:HMDB0000464							chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
Ca2+	Metabolite	hmdb:HMDB0000464							chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
Ca2+	Metabolite	hmdb:HMDB0000464							chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
ROS	Metabolite	wikidata:Q424361						wikidata:Q424361	chebi:26523;chebi:26523	
ROS	Metabolite	wikidata:Q424361						wikidata:Q424361	chebi:26523;chebi:26523	
Ca2+	Metabolite	hmdb:HMDB0000464							chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
ATP	Metabolite	chebi:30616						wikidata:Q27113900	chebi:30616;chebi:30616	inchikey:ZKHQWZAMYRWXGA-KQYNXXCUSA-J
Fibronectin	Metabolite	chebi:5058							chebi:5058	
Collagen	Metabolite	chebi:3815							chebi:3815	
Ang 2	Metabolite	pubchem.compound:172198	'angiotensin 2 (Ang 2)' Peptide hormone; 'Asp-Arg-Val-Tyr-Ile-His-Pro-Phe Angiotensin I is converted to angiotensin II (AII) through removal of two C-terminal residues by the enzyme angiotensin-converting enzyme (ACE), primarily through ACE within the lung (but also present in endothelial cells, kidney epithelial cells, and the brain). Angiotensin II acts on the central nervous system to increase vasopressin production, and also acts on venous and arterial smooth muscle to cause vasoconstriction. Angiotensin II also increases aldosterone secretion; it therefore acts as an endocrine, autocrine/paracrine, and intracrine hormone.' Source: 'https://en.wikipedia.org/wiki/Angiotensin#Angiotensin_II'					wikidata:Q412999	chebi:2719;chebi:2719	inchikey:CZGUSIXMZVURDU-JZXHSEFVSA-N
Ca2+	Metabolite	hmdb:HMDB0000464							chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
Platelet-activating factor	Metabolite	hmdb:HMDB0062195							chebi:44811;chebi:44811	inchikey:HVAUUPRFYPCOCA-AREMUKBSSA-N
Ca2+	Metabolite	hmdb:HMDB0000464							chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
Ca2+	Metabolite	hmdb:HMDB0000464							chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
Ca2+	Metabolite	hmdb:HMDB0000464							chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
Na+	Metabolite	hmdb:HMDB0000588							chebi:29101;chebi:29101	inchikey:FKNQFGJONOIPTF-UHFFFAOYSA-N
Ca2+	Metabolite	hmdb:HMDB0000464							chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
Na+	Metabolite	hmdb:HMDB0000588							chebi:29101;chebi:29101	inchikey:FKNQFGJONOIPTF-UHFFFAOYSA-N
Ca2+	Metabolite	hmdb:HMDB0000464							chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
Ca2+	Metabolite	hmdb:HMDB0000464							chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
ROS	Metabolite	wikidata:Q424361						wikidata:Q424361	chebi:26523;chebi:26523	
Cl-	Metabolite	hmdb:HMDB0000492							chebi:17996;chebi:17996	inchikey:VEXZGXHMUGYJMC-UHFFFAOYSA-M
NO	Metabolite	hmdb:HMDB0003378							chebi:16480;chebi:16480	inchikey:MWUXSHHQAYIFBG-UHFFFAOYSA-N
H2O2	Metabolite	hmdb:HMDB0003125							chebi:16240;chebi:16240	inchikey:MHAJPDPJQMAIIY-UHFFFAOYSA-N
HOCl	Metabolite	hmdb:HMDB0001050	Hypochlorous acid (HOCl) is a type of reactive oxygen species which is produced within neutrophils, and can enter the muscle tissue where it promotes oxidative stress						chebi:24757;chebi:24757	inchikey:QWPPOHNGKGFGJK-UHFFFAOYSA-N
L-Arginie	Metabolite	hmdb:HMDB0000517							chebi:16467;chebi:16467	inchikey:ODKSFYDXXFIFQN-BYPYZUCNSA-N
HOCl	Metabolite	hmdb:HMDB0001050							chebi:24757;chebi:24757	inchikey:QWPPOHNGKGFGJK-UHFFFAOYSA-N
RYR1	GeneProduct	hgnc.symbol:RYR1		ensembl:ENSG00000196218	ncbigene:6261	hgnc.symbol:RYR1	uniprot:M0R1U6;uniprot:P21817;uniprot:M0R014;uniprot:M0R127;uniprot:M0R0S0			
NOX2	GeneProduct	uniprot:P04839		ensembl:ENSG00000165168	ncbigene:1536	hgnc.symbol:CYBB	uniprot:A0A0S2Z3S6;uniprot:P04839			
SOCE	GeneProduct	hgnc.symbol:SARAF		ensembl:ENSG00000133872	ncbigene:51669	hgnc.symbol:SARAF	uniprot:E5RFJ9;uniprot:A0A140VK59;uniprot:H0YBH7;uniprot:E5RJV6;uniprot:H0YAN9;uniprot:E5RJG8;uniprot:H0YAZ1;uniprot:Q96BY9;uniprot:E5RHW0;uniprot:E5RK07			
Dystrophin deficiency	GeneProduct	hgnc.symbol:DMD		ensembl:ENSG00000198947	ncbigene:1756	hgnc.symbol:DMD	uniprot:A0A5H1ZRP8;uniprot:A0A5H1ZRP7;uniprot:A0A5H1ZRR9;uniprot:A0A7P0TB71;uniprot:A0A804HKR4;uniprot:A0A7P0TA90;uniprot:A0A5H1ZRP9;uniprot:A0A7P0TAX0;uniprot:Q4G0X0;uniprot:A0A804HL39;uniprot:Q14174;uniprot:P11532;uniprot:A0A7P0TAM6;uniprot:A0A7P0Z4P7;uniprot:A0A7P0TBK1;uniprot:A0A804HKZ5;uniprot:A0A075B6G3;uniprot:A0A087WV90;uniprot:A0A804HKY9;uniprot:A0A5H1ZRQ8;uniprot:A0A0B4J1W6;uniprot:H0Y3E8;uniprot:A0A0S2Z3B2;uniprot:A0A7P0Z4M9;uniprot:A0A7P0T8I2;uniprot:A0A0S2Z3J7;uniprot:B4DSV7;uniprot:A0A7P0TAW7;uniprot:A0A7P0Z447;uniprot:Q14172;uniprot:A0A7P0Z4Q6;uniprot:A0A0S2Z3B5;uniprot:A0A5H1ZRQ1;uniprot:A0A7P0TAD9;uniprot:H0Y304;uniprot:A0A087WTU7;uniprot:A0A0C4DH61;uniprot:H0Y864;uniprot:A0A804HIY5;uniprot:A0A804HJY0			
DMD	GeneProduct	hgnc.symbol:DMD		ensembl:ENSG00000198947	ncbigene:1756	hgnc.symbol:DMD	uniprot:A0A5H1ZRP8;uniprot:A0A5H1ZRP7;uniprot:A0A5H1ZRR9;uniprot:A0A7P0TB71;uniprot:A0A804HKR4;uniprot:A0A7P0TA90;uniprot:A0A5H1ZRP9;uniprot:A0A7P0TAX0;uniprot:Q4G0X0;uniprot:A0A804HL39;uniprot:Q14174;uniprot:P11532;uniprot:A0A7P0TAM6;uniprot:A0A7P0Z4P7;uniprot:A0A7P0TBK1;uniprot:A0A804HKZ5;uniprot:A0A075B6G3;uniprot:A0A087WV90;uniprot:A0A804HKY9;uniprot:A0A5H1ZRQ8;uniprot:A0A0B4J1W6;uniprot:H0Y3E8;uniprot:A0A0S2Z3B2;uniprot:A0A7P0Z4M9;uniprot:A0A7P0T8I2;uniprot:A0A0S2Z3J7;uniprot:B4DSV7;uniprot:A0A7P0TAW7;uniprot:A0A7P0Z447;uniprot:Q14172;uniprot:A0A7P0Z4Q6;uniprot:A0A0S2Z3B5;uniprot:A0A5H1ZRQ1;uniprot:A0A7P0TAD9;uniprot:H0Y304;uniprot:A0A087WTU7;uniprot:A0A0C4DH61;uniprot:H0Y864;uniprot:A0A804HIY5;uniprot:A0A804HJY0			
