Label	Type	ID	Database	
IR
	GeneProduct	ENSG00000171105	Ensembl
Insulin	Protein	P01308	Uniprot-TrEMBL
PI3k/AKT	GeneProduct		
TCS-1	GeneProduct	ENSG00000165699	Ensembl
AMPK	Protein		
mTORC1	Complex	Q6718498	Wikidata
PI3KCIII	GeneProduct		
BCL-2	GeneProduct	ENSG00000171791	Ensembl
3-MA	Metabolite	1673	PubChem-compound
Ambra1	GeneProduct	ENSG00000110497	Ensembl
ATG9	GeneProduct	ENSG00000181652	Ensembl
VMP1	GeneProduct	ENSG00000062716	Ensembl
LC3-II	GeneProduct		
ATG10	GeneProduct	ENSG00000152348	Ensembl
ULK1	GeneProduct	ENSG00000177169	Ensembl
Carbon nanotube	Unknown	NPO_606	NanoParticle Ontology
TCS-2	GeneProduct	ENSG00000103197	Ensembl
Beclin1
	GeneProduct	ENSG00000126581	Ensembl
Atg14L	GeneProduct	ENSG00000126775	Ensembl
p150
	GeneProduct	ENSG00000167670	Ensembl
PI3KCIII	GeneProduct		
UVRAG	GeneProduct	ENSG00000198382	Ensembl
Beclin1
	GeneProduct	ENSG00000126581	Ensembl
Bif1	GeneProduct	ENSG00000097033	Ensembl
p150
	GeneProduct	ENSG00000167670	Ensembl
PI3KCIII	GeneProduct		
LC3-I	GeneProduct	ENSG00000101460	Ensembl
ATG3	GeneProduct	ENSG00000144848	Ensembl
ATG4	GeneProduct	ENSG00000101844	Ensembl
ATG7	GeneProduct	ENSG00000197548	Ensembl
ATG12	GeneProduct	ENSG00000145782	Ensembl
ATG5	GeneProduct	ENSG00000057663	Ensembl
ATG16L	GeneProduct	ENSG00000085978	Ensembl
Au NP	Unknown	NPO_401	NanoParticle Ontology
ULK2	GeneProduct	ENSG00000083290	Ensembl
PAMAM	Unknown	NPO_965	NanoParticle Ontology
FeO NP	Unknown	NPO_273	NanoParticle Ontology
