Label	Type	ID	Database	Comment
HES1	GeneProduct	ENSG00000114315	ensembl:ENSG00000114315	
MIR31	GeneProduct	MI0000089	mirbase:MI0000089	
VEGFA	GeneProduct	ENSG00000112715	ensembl:ENSG00000112715	
HIF1AN	GeneProduct	ENSG00000166135	ensembl:ENSG00000166135	
MIR148A	Rna	MI0000253	mirbase:MI0000253	
HEY1	GeneProduct	ENSG00000164683	ensembl:ENSG00000164683	
HIF1A	GeneProduct	ENSG00000100644	ensembl:ENSG00000100644	
VEGFB	GeneProduct	ENSG00000173511	ensembl:ENSG00000173511	
VEGFC	GeneProduct	ENSG00000150630	ensembl:ENSG00000150630	
HIF1A	GeneProduct	ENSG00000100644	ensembl:ENSG00000100644	
