Label	Type	ID	Database	Comment
Mir302b	Rna	ENSMUSG00000076252	ensembl:ENSMUSG00000076252	
Hippo pathway	Pathway			
Cell proliferation and survival	Pathway			
Mst1	GeneProduct	ENSMUSG00000032591	ensembl:ENSMUSG00000032591	
Yap	Protein	P46938	uniprot:P46938	
Lats2	GeneProduct	ENSMUSG00000021959	ensembl:ENSMUSG00000021959	
Mob1b	GeneProduct	ENSMUSG00000006262	ensembl:ENSMUSG00000006262	
Mir302c	Rna	ENSMUSG00000065482	ensembl:ENSMUSG00000065482	
Mir302a	Rna	ENSMUSG00000065552	ensembl:ENSMUSG00000065552	
Mir302d	Rna	ENSMUSG00000065447	ensembl:ENSMUSG00000065447	
Mir367	Rna	ENSMUSG00000065413	ensembl:ENSMUSG00000065413	
Yap	Protein	P46938	uniprot:P46938	
